pos[m] eKin rmsX rmsXp rmsY rmsYp rmsZ rmsdp_p  rmsZp phase time eKin x xp y yp z dp_p zp phase0 time0 eKin0 
+2.513725e+000      2.500054  +1.315954e-003 +4.530591e-003 +1.445756e-003 +2.241143e-003 +3.478602e-003 +1.846049e-003 +1.836261e-003 +2.309028e+001 +1.593532e-010 +9.218194e-003 -4.802442e-006 -6.533266e-006 -3.450967e-006 -4.792227e-006 +4.046932e-005 +1.621346e-005 +1.612749e-005 +2.686274e-001 +1.853881e-012 +8.096143e-005 
+2.563957e+000      2.500047  +1.127675e-003 +4.310253e-003 +1.420277e-003 +2.186216e-003 +3.401572e-003 +1.681110e-003 +1.672196e-003 +2.257900e+001 +1.558247e-010 +8.394547e-003 -5.113502e-006 -7.027814e-006 -3.682029e-006 -5.076012e-006 +4.036856e-005 +1.473100e-005 +1.465289e-005 +2.679590e-001 +1.849268e-012 +7.355859e-005 
+2.614188e+000      2.500044  +1.043474e-003 +4.194305e-003 +1.453670e-003 +2.283486e-003 +3.356878e-003 +1.564039e-003 +1.555746e-003 +2.228234e+001 +1.537774e-010 +7.809951e-003 -5.514253e-006 -7.857418e-006 -3.946745e-006 -5.305073e-006 +4.032973e-005 +1.428048e-005 +1.420476e-005 +2.677014e-001 +1.847490e-012 +7.130888e-005 
+2.664420e+000      2.500044  +9.996612e-004 +4.118866e-003 +1.509908e-003 +2.439817e-003 +3.324732e-003 +1.465543e-003 +1.457773e-003 +2.206896e+001 +1.523048e-010 +7.318120e-003 -5.949809e-006 -8.817045e-006 -4.224520e-006 -5.512896e-006 +4.031494e-005 +1.423041e-005 +1.415496e-005 +2.676032e-001 +1.846813e-012 +7.105888e-005 
+2.714651e+000      2.500044  +9.558483e-004 +4.043428e-003 +1.566146e-003 +2.596148e-003 +3.292586e-003 +1.367048e-003 +1.359800e-003 +2.185558e+001 +1.508322e-010 +6.826288e-003 -6.385365e-006 -9.776672e-006 -4.502295e-006 -5.720720e-006 +4.030015e-005 +1.418035e-005 +1.410516e-005 +2.675050e-001 +1.846135e-012 +7.080888e-005 
+2.764842e+000      2.500045  +9.488438e-004 +4.018852e-003 +1.637798e-003 +2.772524e-003 +3.270032e-003 +1.304958e-003 +1.298039e-003 +2.170587e+001 +1.497989e-010 +6.516248e-003 -6.856236e-006 -1.071578e-005 -4.786217e-006 -5.908568e-006 +4.028888e-005 +1.447454e-005 +1.439780e-005 +2.674302e-001 +1.845619e-012 +7.227794e-005 
+2.814903e+000      2.500052  +1.060630e-003 +4.158425e-003 +1.759196e-003 +3.013590e-003 +3.278435e-003 +1.360357e-003 +1.353144e-003 +2.176161e+001 +1.501837e-010 +6.792899e-003 -7.441077e-006 -1.158865e-005 -5.089975e-006 -6.031951e-006 +4.028900e-005 +1.587974e-005 +1.579554e-005 +2.674305e-001 +1.845621e-012 +7.929496e-005 
+2.864964e+000      2.500060  +1.172416e-003 +4.297997e-003 +1.880594e-003 +3.254656e-003 +3.286838e-003 +1.415756e-003 +1.408249e-003 +2.181736e+001 +1.505684e-010 +7.069551e-003 -8.025918e-006 -1.246153e-005 -5.393734e-006 -6.155334e-006 +4.028911e-005 +1.728494e-005 +1.719329e-005 +2.674309e-001 +1.845624e-012 +8.631201e-005 
+2.915307e+000      2.500065  +1.459470e-003 +8.282505e-003 +1.847640e-003 +4.820272e-003 +3.311326e-003 +1.513794e-003 +1.505768e-003 +2.197988e+001 +1.516900e-010 +7.559123e-003 -9.473139e-006 -4.048031e-005 -5.187883e-006 +1.055191e-005 +3.954848e-005 +1.854004e-005 +1.844174e-005 +2.625144e-001 +1.811694e-012 +9.257956e-005 
+2.965669e+000      2.500071  +1.895293e-003 +1.008583e-002 +1.667863e-003 +5.345525e-003 +3.350904e-003 +1.626351e-003 +1.617728e-003 +2.224257e+001 +1.535029e-010 +8.121193e-003 -1.173929e-005 -5.242978e-005 -4.510528e-006 +1.772222e-005 +3.764014e-005 +1.963664e-005 +1.953253e-005 +2.498470e-001 +1.724272e-012 +9.805567e-005 
